City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
399,kashi,39.4547,75.9797,-1.91,51,1,1.86,CN,1676232771
400,roma,43.2128,-75.4557,8.74,39,0,0.0,US,1676232549
401,makakilo city,21.3469,-158.0858,25.18,62,0,9.77,US,1676232771
402,gat,31.61,34.7642,10.22,79,51,1.0,IL,1676232483
403,ostrovnoy,68.0531,39.5131,-4.26,90,100,12.61,RU,1676232772
404,oistins,13.0667,-59.5333,28.05,47,20,10.8,BB,1676232665
405,vung tau,10.346,107.0843,24.91,87,99,6.04,VN,1676232773
406,acapulco,16.8634,-99.8901,29.9,66,0,3.6,MX,1676232724
407,kattivakkam,13.2167,80.3167,23.05,65,5,1.47,IN,1676232773
408,mount gambier,-37.8333,140.7667,13.57,65,99,2.7,AU,1676232616
409,durazno,-33.4131,-56.5006,40.19,12,0,6.41,UY,1676232544
410,fundao,-19.9341,-40.4047,28.74,69,99,1.62,BR,1676232774
411,san antero,9.3741,-75.7589,29.28,68,41,6.16,CO,1676232774
412,leuwiliang,-6.5745,106.6344,25.68,90,100,1.99,ID,1676232775
413,paracuru,-3.41,-39.0306,28.39,71,86,5.6,BR,1676232775
414,beitbridge,-22.2167,30.0,25.77,74,100,7.03,ZW,1676232776
415,tautira,-17.7333,-149.15,27.07,79,42,4.56,PF,1676232776
416,pagouria,41.0291,25.3184,3.61,77,56,4.34,GR,1676232777
417,ambon,-3.6954,128.1814,27.08,78,40,3.09,ID,1676232777
418,fortuna,40.5982,-124.1573,13.29,75,0,0.45,US,1676232699
419,vaitape,-16.5167,-151.75,27.65,75,81,5.1,PF,1676232778
420,johnson city,36.3134,-82.3535,6.05,76,100,2.57,US,1676232778
421,bodmin,50.4715,-4.7243,6.98,87,20,9.26,GB,1676232779
422,jiazi,22.8779,116.067,19.56,95,67,1.44,CN,1676232779
423,oranjestad,12.524,-70.027,27.97,69,40,11.32,AW,1676232780
424,monticello,45.3055,-93.7941,6.02,61,0,3.09,US,1676232780
425,tarancon,40.0085,-3.0073,4.68,73,100,3.27,ES,1676232781
426,creel,27.75,-107.6333,13.87,22,67,7.56,MX,1676232781
427,los llanos de aridane,28.6585,-17.9182,14.86,74,20,3.09,ES,1676232782
428,balkanabat,39.5108,54.3671,4.1,44,98,2.24,TM,1676232783
429,bilma,18.6853,12.9164,22.02,21,1,6.65,NE,1676232544
430,alta floresta,-9.8756,-56.0861,28.74,76,38,0.68,BR,1676232522
431,mackay,-21.15,149.2,22.05,84,34,4.51,AU,1676232785
432,chokurdakh,70.6333,147.9167,-34.84,96,100,0.89,RU,1676232786
433,doha,25.2867,51.5333,19.99,83,100,3.6,QA,1676232757
434,pilar,-9.5972,-35.9567,27.96,68,89,5.02,BR,1676232786
